ticket_id,date,park_price,our_price,savings
37,2026-02-16,110,81,29
37,2026-02-17,93,64,29
37,2026-02-18,90,61,29
37,2026-02-19,90,61,29
37,2026-02-20,90,61,29
37,2026-02-21,98,69,29
37,2026-02-22,98,69,29
37,2026-02-23,90,61,29
37,2026-02-24,93,64,29
37,2026-02-25,93,64,29
37,2026-02-26,95,66,29
37,2026-02-27,95,66,29
37,2026-02-28,110,81,29
37,2026-03-01,107,78,29
37,2026-03-02,100,71,29
37,2026-03-03,93,64,29
37,2026-03-04,90,61,29
37,2026-03-05,100,71,29
37,2026-03-06,103,74,29
37,2026-03-07,110,81,29
37,2026-03-08,107,78,29
37,2026-03-09,100,71,29
37,2026-03-10,93,64,29
37,2026-03-11,93,64,29
37,2026-03-12,100,71,29
37,2026-03-13,100,71,29
37,2026-03-14,115,86,29
37,2026-03-15,115,86,29
37,2026-03-16,107,78,29
37,2026-03-17,103,74,29
37,2026-03-18,103,74,29
37,2026-03-19,107,78,29
37,2026-03-20,113,84,29
37,2026-03-21,115,86,29
37,2026-03-22,115,86,29
37,2026-03-23,100,71,29
37,2026-03-24,95,66,29
37,2026-03-25,95,66,29
37,2026-03-26,100,71,29
37,2026-03-27,100,71,29
37,2026-03-28,113,84,29
37,2026-03-29,113,84,29
37,2026-03-30,113,84,29
37,2026-03-31,113,84,29
37,2026-04-01,113,84,29
37,2026-04-02,113,84,29
37,2026-04-03,113,84,29
37,2026-04-04,115,86,29
37,2026-04-05,115,86,29
37,2026-04-06,100,71,29
37,2026-04-07,98,69,29
37,2026-04-08,82,53,29
37,2026-04-09,100,71,29
37,2026-04-10,103,74,29
37,2026-04-11,110,81,29
37,2026-04-12,107,78,29
37,2026-04-13,100,71,29
37,2026-04-14,98,69,29
37,2026-04-15,82,53,29
37,2026-04-16,100,71,29
37,2026-04-17,103,74,29
37,2026-04-18,110,81,29
37,2026-04-19,107,78,29
37,2026-04-20,93,64,29
37,2026-04-21,84,55,29
37,2026-04-22,80,51,29
37,2026-04-23,82,53,29
37,2026-04-24,82,53,29
37,2026-04-25,100,71,29
37,2026-04-26,100,71,29
37,2026-04-27,88,59,29
37,2026-04-28,88,59,29
37,2026-04-29,82,53,29
37,2026-04-30,93,64,29
37,2026-05-01,93,64,29
37,2026-05-02,107,78,29
37,2026-05-03,105,76,29
37,2026-05-04,93,64,29
37,2026-05-05,90,61,29
37,2026-05-06,86,57,29
37,2026-05-07,90,61,29
37,2026-05-08,95,66,29
37,2026-05-09,110,81,29
37,2026-05-10,110,81,29
37,2026-05-11,84,55,29
37,2026-05-12,80,51,29
37,2026-05-13,80,51,29
37,2026-05-14,80,51,29
37,2026-05-15,80,51,29
37,2026-05-16,88,59,29
37,2026-05-17,88,59,29
37,2026-05-18,80,51,29
37,2026-05-19,80,51,29
37,2026-05-20,80,51,29
37,2026-05-21,80,51,29
37,2026-05-22,84,55,29
37,2026-05-23,93,64,29
37,2026-05-24,90,61,29
37,2026-05-25,80,51,29
37,2026-05-26,80,51,29
37,2026-05-27,80,51,29
37,2026-05-28,80,51,29
37,2026-05-29,80,51,29
37,2026-05-30,84,55,29
37,2026-05-31,84,55,29
37,2026-06-01,80,51,29
37,2026-06-02,80,51,29
37,2026-06-03,80,51,29
37,2026-06-04,80,51,29
37,2026-06-05,80,51,29
37,2026-06-06,80,51,29
37,2026-06-07,80,51,29
37,2026-06-08,80,51,29
37,2026-06-09,80,51,29
37,2026-06-10,80,51,29
37,2026-06-11,80,51,29
37,2026-06-12,80,51,29
37,2026-06-13,80,51,29
37,2026-06-14,80,51,29
37,2026-06-15,80,51,29
37,2026-06-16,80,51,29
37,2026-06-17,80,51,29
37,2026-06-18,80,51,29
37,2026-06-19,80,51,29
37,2026-06-20,80,51,29
37,2026-06-21,80,51,29
37,2026-06-22,80,51,29
37,2026-06-23,80,51,29
37,2026-06-24,80,51,29
37,2026-06-25,80,51,29
37,2026-06-26,80,51,29
37,2026-06-27,80,51,29
37,2026-06-28,80,51,29
37,2026-06-29,80,51,29
37,2026-06-30,80,51,29
37,2026-07-01,80,51,29
37,2026-07-02,80,51,29
37,2026-07-03,80,51,29
37,2026-07-04,80,51,29
37,2026-07-05,80,51,29
37,2026-07-06,80,51,29
37,2026-07-07,80,51,29
37,2026-07-08,80,51,29
37,2026-07-09,80,51,29
37,2026-07-10,80,51,29
37,2026-07-11,80,51,29
37,2026-07-12,80,51,29
37,2026-07-13,80,51,29
37,2026-07-14,80,51,29
37,2026-07-15,80,51,29
37,2026-07-16,80,51,29
37,2026-07-17,80,51,29
37,2026-07-18,80,51,29
37,2026-07-19,80,51,29
37,2026-07-20,80,51,29
37,2026-07-21,80,51,29
37,2026-07-22,80,51,29
37,2026-07-23,80,51,29
37,2026-07-24,80,51,29
37,2026-07-25,80,51,29
37,2026-07-26,80,51,29
37,2026-07-27,80,51,29
37,2026-07-28,80,51,29
37,2026-07-29,80,51,29
37,2026-07-30,80,51,29
37,2026-07-31,80,51,29
37,2026-08-01,80,51,29
37,2026-08-02,80,51,29
37,2026-08-03,80,51,29
37,2026-08-04,80,51,29
37,2026-08-05,80,51,29
37,2026-08-06,80,51,29
37,2026-08-07,80,51,29
37,2026-08-08,80,51,29
37,2026-08-09,80,51,29
37,2026-08-10,80,51,29
37,2026-08-11,80,51,29
37,2026-08-12,80,51,29
37,2026-08-13,80,51,29
37,2026-08-14,80,51,29
37,2026-08-15,80,51,29
37,2026-08-16,80,51,29
37,2026-08-17,80,51,29
37,2026-08-18,80,51,29
37,2026-08-19,80,51,29
37,2026-08-20,80,51,29
37,2026-08-21,80,51,29
37,2026-08-22,80,51,29
37,2026-08-23,80,51,29
37,2026-08-24,80,51,29
37,2026-08-25,80,51,29
37,2026-08-26,80,51,29
37,2026-08-27,80,51,29
37,2026-08-28,80,51,29
37,2026-08-29,90,61,29
37,2026-08-30,90,61,29
37,2026-08-31,80,51,29
37,2026-09-01,80,51,29
37,2026-09-02,80,51,29
37,2026-09-03,80,51,29
